semester,pickuplocation,processinglocation,courseid,aresitemid,currentstatus,currentstatusdate,deptfinal,coursenumber,coursetitle,instructordisplayname,instructor,itembarcode,url,itemtitle,author,publisher,itemtype,itemformat,documenttype,typeofreserve,shelflocation,callnumber,articletitle,volume,issue,journalyear,journalmonth,pages,numberofusers,totalclicks
Fall 2024,OLIN,OKU,36271,260451,Item Available at Reserve Desk,02-Oct-24,,ENGRD 2020,ENGRD 2020 COMBINED-XLIST Statics and Mechanics of Solids (2024FA),,,31924088529940,,Statics and mechanics of materials /,"Beer, Ferdinand P. (Ferdinand Pierre), 1915-2003, author.",McGraw-Hill Education,MON,Book,HardCopy,Physical Reserve,Uris Library,Oversize TA351 .S68 2021 +,,,,,,,0,
Fall 2024,E-RESERVE,OKU,36205,259851,Item Available on Electronic Reserves,03-Sep-24,,ILRIG 4367,Migration and Mobility: Theories and Lived Realities,"Ivory, Tristan",,,https://www.kanopy.com/en/cornell/video/222475,Mariam: A Young Muslim Girl Comes of Age,Faiza Ambah,,MON,Video,WebLink,E-Reserve,KANOPY,STREAMING VIDEO,,,,,,,0,
Fall 2024,E-RESERVE,OKU,36205,259852,Item Available on Electronic Reserves,04-Sep-24,,ILRIG 4367,Migration and Mobility: Theories and Lived Realities,"Ivory, Tristan",,NA,https://cornell.kanopy.com/node/66398,Race-- the power of an illusion,,Kanopy Streaming,MON,Video,WebLink,E-Reserve,KANOPY,STREAMING VIDEO,,,,,,,0,
Fall 2024,OLIN,OKU,36175,259692,Item Available at Reserve Desk,06-Sep-24,,BEE5330/ENGRG5330,BEE 5330 COMBINED-XLIST Engineering Professionalism (2024SP),,,,,FE Other Disciplines Review Manual,"Michael R. Lindeburg, PE",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,OLIN,OKU,36228,260058,Item Available at Reserve Desk,04-Nov-24,,BIOG1140,BIOG 1140 Foundations of Biology (2024FA),"Kristy L. Long, Darlene Campbell, Robert Turgeon, Karin P. Jantz, Leah Cynara Cook","Kristy L. Long, Darlene Campbell, Robert Turgeon, Karin P. Jantz, Leah Cynara Cook",31924131577839,,Campbell biology : concepts & connections,"Martha R. Taylor, Ithaca, New York, Eric J. Simon, New England College, Jean L. Dickey, Clemson University, Kelly Hogan, University of North Carolina, Chapel Hill, Jane B. Reece, Berkeley, California",Pearson,MON,Book,HardCopy,Physical Reserve,Uris Library,Oversize QH308.2 .T39 2018 +,,,,,,,0,
Fall 2024,OLIN,OKU,35701,255332,Item Available at Reserve Desk,30-Apr-24,,HCLP5004,Evidence-based Decision-making in Healthcare,,,31924099146528,,"Information Theory, Inference and Learning Algorithms",David J. C. MacKay,,MON,Book,HardCopy,Physical Reserve,,Q 360. M23 2003+,,,,,,,0,
Fall 2024,ILR,ILR,35844,256803,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,15DD6A4E.pdf,,"Gjerde, Jon",,MON,Book,WebLink,E-Reserve,,,Major Problems in American Immigrationand Ethnic History,,,,,,34,120
Fall 2024,ILR,ILR,35844,256804,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://www.jstor.org/stable/10.1086/532290?searchText=Tyler+Anbinder&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3DTyler%2BAnbinder&ab_segments=0%2Fbasic_search_gsv2%2Fcontrol&refreqid=fastly-default%3A5b885b2bd2f217f315891ef64368f723&seq=1,,"Anbinder, Tyler",,MON,Book,HardCopy,Physical Reserve,,,From Famin to Five Points,,,,,,0,
Fall 2024,ILR,ILR,35844,256801,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/16155054,America for Americans,"Lee, Rrika",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,ILR,ILR,35844,256802,Item Available at Reserve Desk,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924126717135,,America for Americans : a history of xenophobia in the United States,Erika Lee,Basic Books,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),E184.A1 L4135 2019,,,,,,,0,
Fall 2024,ILR,ILR,35844,257087,Item Available at Reserve Desk,07-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://ebookcentral.proquest.com/lib/cornell/detail.action?docID=6587221,House of Sticks,Ly Tran,,MON,Book,WebLink,E-Reserve,,,,,,,,,4,16
Fall 2024,ILR,ILR,35844,256928,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924128852930,,House of sticks : a memoir,Ly Tran,"Scribner, an imprint of Simon & Schuster, Inc.",MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),F128.9.V53 T73 2021,,,,,,,0,
Fall 2024,ILR,ILR,35844,256800,Item Available at Reserve Desk,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924129237388,,Immigration : an American history,"Carl J. Bon Tempo, Hasia R. Diner",London,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),JV6450 .B66 2022,,,,,,,0,
